,Date,URM,LRM,Distance,Year
533,8/23/2009,86.5,85.5,1,2009
534,8/24/2009,84,74.5,9.5,2009
535,8/25/2009,80,74.5,5.5,2009
536,8/6/2009,82,74.5,7.5,2009
537,8/7/2009,79,74.5,4.5,2009
538,8/8/2009,79.5,74.5,5,2009
539,8/9/2009,84,74.5,9.5,2009
540,9/3/2009,81.5,74.5,7,2009
541,9/3/2009,91,85.5,5.5,2009
542,9/4/2009,81.5,74.5,7,2009
543,9/4/2009,91,85.5,5.5,2009
544,9/5/2009,82,74.5,7.5,2009
545,9/5/2009,92,85.5,6.5,2009
546,9/6/2009,82,74.5,7.5,2009
547,9/6/2009,90.5,85.5,5,2009
548,9/7/2009,80.5,74.5,6,2009
549,10/10/2010,89.5,74,15.5,2010
550,10/10/2010,159.5,152.5,7,2010
551,10/11/2010,89.5,74,15.5,2010
552,10/11/2010,160,152.5,7.5,2010
553,10/12/2010,89.5,74,15.5,2010
554,10/12/2010,159.5,152.5,7,2010
555,10/13/2010,89.5,74,15.5,2010
556,10/13/2010,160.5,152.5,8,2010
557,10/14/2010,89,74,15,2010
558,10/14/2010,161,152.5,8.5,2010
559,10/15/2010,89,74,15,2010
560,10/15/2010,161,152.5,8.5,2010
561,10/16/2010,86.5,74,12.5,2010
562,10/16/2010,161,152.5,8.5,2010
563,10/17/2010,88,74,14,2010
564,10/17/2010,159.5,152.5,7,2010
565,10/18/2010,89.5,74,15.5,2010
566,10/18/2010,161,152.5,8.5,2010
567,10/19/2010,86,74,12,2010
568,10/19/2010,161,152.5,8.5,2010
569,10/2/2010,155.5,152.5,3,2010
570,10/20/2010,86.5,74,12.5,2010
571,10/20/2010,161,152.5,8.5,2010
572,10/21/2010,85,74,11,2010
573,10/22/2010,83.5,74,9.5,2010
574,10/27/2010,153,152.5,0.5,2010
575,10/3/2010,88,74,14,2010
576,10/3/2010,153.5,152.5,1,2010
577,10/4/2010,88,74,14,2010
578,10/5/2010,86,74,12,2010
579,10/6/2010,86,74,12,2010
580,10/7/2010,76.5,74,2.5,2010
581,10/7/2010,158,152.5,5.5,2010
582,10/8/2010,159.5,152.5,7,2010
583,10/9/2010,74,74,0,2010
584,10/9/2010,159.5,152.5,7,2010
585,6/28/2010,84,74,10,2010
586,7/11/2010,79.5,74,5.5,2010
587,7/12/2010,77.5,74,3.5,2010
588,7/13/2010,79,74,5,2010
589,7/14/2010,81.5,74,7.5,2010
590,7/15/2010,83.5,74,9.5,2010
591,7/16/2010,83.5,74,9.5,2010
592,7/17/2010,85,74,11,2010
593,7/18/2010,86.5,74,12.5,2010
594,7/19/2010,89,74,15,2010
595,7/20/2010,90,74,16,2010
596,7/21/2010,84.5,74,10.5,2010
597,7/22/2010,90,74,16,2010
598,7/23/2010,74,74,0,2010
599,7/24/2010,79,74,5,2010
600,8/14/2010,155,154,1,2010
601,8/15/2010,155.5,154,1.5,2010
602,8/16/2010,155.5,153.5,2,2010
603,8/21/2010,155,154,1,2010
604,8/22/2010,155.5,153.5,2,2010
605,8/23/2010,156,152.5,3.5,2010
606,8/27/2010,155.5,153,2.5,2010
607,8/28/2010,156,152.5,3.5,2010
608,8/29/2010,156.5,152.5,4,2010
609,8/30/2010,78.5,74,4.5,2010
610,8/30/2010,157,152.5,4.5,2010
611,8/31/2010,81,74,7,2010
612,8/31/2010,156.5,152.5,4,2010
613,9/10/2010,91.5,74,17.5,2010
614,9/10/2010,159,152.5,6.5,2010
615,9/11/2010,91.5,74,17.5,2010
616,9/11/2010,159,152.5,6.5,2010
617,9/12/2010,91.5,74,17.5,2010
618,9/12/2010,159,152.5,6.5,2010
619,9/13/2010,91,74,17,2010
620,9/13/2010,158.5,152.5,6,2010
621,9/14/2010,90.5,74,16.5,2010
