"Date","URM","LRM","Distance","Year"
"326",2005-09-28,84.3,74,10.3,2005
"327",2005-09-29,94.9,74,20.9,2005
"328",2005-09-29,84.2,74,10.2,2005
"329",2005-09-29,73.9,57.5,16.4,2005
"330",2005-09-29,68.6,57.5,11.1,2005
"331",2005-09-03,82.9,74,8.9,2005
"332",2005-09-30,72.1,57.5,14.6,2005
"333",2006-10-01,88.3,74,14.3,2006
"334",2006-10-01,87.2,74,13.2,2006
"335",2006-10-04,86.3,74,12.3,2006
"336",2006-10-05,156.2,152.5,3.7,2006
"337",2006-10-05,88.5,74,14.5,2006
"338",2006-10-06,156.7,152.5,4.2,2006
"339",2006-10-06,88.9,74,14.9,2006
"340",2006-10-07,90,74,16,2006
"341",2006-10-08,89.8,74,15.8,2006
"342",2006-05-22,78.4,74,4.4,2006
"343",2006-05-22,77.7,74,3.7,2006
"344",2006-05-22,77.7,74,3.7,2006
"345",2006-05-23,78.3,74,4.3,2006
"346",2006-05-24,76.6,74,2.6,2006
"347",2006-05-25,74.6,74,0.6,2006
"348",2006-05-26,74.5,74,0.5,2006
"349",2006-05-27,74.8,74,0.8,2006
"350",2006-05-27,74.4,74,0.4,2006
"351",2006-06-15,75.6,74,1.6,2006
"352",2006-06-16,76.8,74,2.8,2006
"353",2006-06-16,76,74,2,2006
"354",2006-06-16,75.3,74,1.3,2006
"355",2006-06-16,74.7,74,0.7,2006
"356",2006-06-17,81.4,74,7.4,2006
"357",2006-06-17,80.7,74,6.7,2006
"358",2006-06-17,79.8,74,5.8,2006
"359",2006-06-18,81.8,74,7.8,2006
"360",2006-06-18,80,74,6,2006
"361",2006-06-19,81.4,74,7.4,2006
"362",2006-06-19,80.6,74,6.6,2006
"363",2006-06-19,79.9,74,5.9,2006
"364",2006-06-20,82.1,74,8.1,2006
"365",2006-06-20,81.4,74,7.4,2006
"366",2006-06-21,81.6,74,7.6,2006
"367",2006-06-22,83,74,9,2006
"368",2006-06-23,84,74,10,2006
"369",2006-06-24,85.7,74,11.7,2006
